Random Seed: 123
train: Epoch: 0	
loading annotations into memory...
Done (t=0.58s)
creating index...
index created!
loading annotations into memory...
Done (t=15.94s)
creating index...
index created!
loading annotations into memory...
Done (t=0.50s)
creating index...
index created!
eta: 1:09:15  epoch: 0  step: 2500  mask_loss: 0.7482  ct_loss: 2.8961  wh_loss: 0.9368  py_loss: 4.9071  shape_loss: 0.4490  loss: 9.9373  data: 0.0223  batch: 0.8535  lr: 0.000100  max_mem: 13037
eta: 1:07:47  epoch: 0  step: 2600  mask_loss: 0.7459  ct_loss: 2.8538  wh_loss: 0.9432  py_loss: 4.8895  shape_loss: 0.4719  loss: 9.9043  data: 0.0217  batch: 0.8552  lr: 0.000100  max_mem: 13037
eta: 1:06:18  epoch: 0  step: 2700  mask_loss: 0.7469  ct_loss: 2.9345  wh_loss: 1.0116  py_loss: 5.2217  shape_loss: 0.5118  loss: 10.4264  data: 0.0225  batch: 0.8438  lr: 0.000100  max_mem: 13037
eta: 1:04:51  epoch: 0  step: 2800  mask_loss: 0.7453  ct_loss: 2.8150  wh_loss: 0.9488  py_loss: 4.9793  shape_loss: 0.4687  loss: 9.9571  data: 0.0225  batch: 0.8511  lr: 0.000100  max_mem: 13037
eta: 1:03:24  epoch: 0  step: 2900  mask_loss: 0.7517  ct_loss: 2.8301  wh_loss: 1.0114  py_loss: 5.3167  shape_loss: 0.5151  loss: 10.4250  data: 0.0231  batch: 0.8491  lr: 0.000100  max_mem: 13037
eta: 1:01:57  epoch: 0  step: 3000  mask_loss: 0.7311  ct_loss: 2.8101  wh_loss: 1.0036  py_loss: 5.2047  shape_loss: 0.4948  loss: 10.2443  data: 0.0231  batch: 0.8464  lr: 0.000100  max_mem: 13037
eta: 1:00:30  epoch: 0  step: 3100  mask_loss: 0.7484  ct_loss: 2.8758  wh_loss: 0.9700  py_loss: 5.1038  shape_loss: 0.4784  loss: 10.1764  data: 0.0249  batch: 0.8559  lr: 0.000100  max_mem: 13037
eta: 0:59:03  epoch: 0  step: 3200  mask_loss: 0.7537  ct_loss: 2.8407  wh_loss: 0.9963  py_loss: 5.0863  shape_loss: 0.4882  loss: 10.1651  data: 0.0254  batch: 0.8551  lr: 0.000100  max_mem: 13037
eta: 0:57:36  epoch: 0  step: 3300  mask_loss: 0.7406  ct_loss: 2.8200  wh_loss: 0.9936  py_loss: 5.0603  shape_loss: 0.5034  loss: 10.1177  data: 0.0231  batch: 0.8437  lr: 0.000100  max_mem: 13037
eta: 0:56:10  epoch: 0  step: 3400  mask_loss: 0.7499  ct_loss: 2.8235  wh_loss: 0.9609  py_loss: 4.9502  shape_loss: 0.4531  loss: 9.9376  data: 0.0278  batch: 0.8770  lr: 0.000100  max_mem: 13037
eta: 0:54:44  epoch: 0  step: 3500  mask_loss: 0.7455  ct_loss: 2.8857  wh_loss: 1.0445  py_loss: 5.4243  shape_loss: 0.5352  loss: 10.6352  data: 0.0271  batch: 0.8476  lr: 0.000100  max_mem: 13037
eta: 0:53:19  epoch: 0  step: 3600  mask_loss: 0.7520  ct_loss: 2.8519  wh_loss: 1.0453  py_loss: 5.4045  shape_loss: 0.5072  loss: 10.5609  data: 0.0272  batch: 0.8581  lr: 0.000100  max_mem: 13037
eta: 0:51:54  epoch: 0  step: 3700  mask_loss: 0.7380  ct_loss: 2.6813  wh_loss: 0.9679  py_loss: 5.0544  shape_loss: 0.4888  loss: 9.9303  data: 0.0273  batch: 0.8812  lr: 0.000100  max_mem: 13037
eta: 0:50:29  epoch: 0  step: 3800  mask_loss: 0.7300  ct_loss: 2.7358  wh_loss: 1.0145  py_loss: 5.3590  shape_loss: 0.5099  loss: 10.3492  data: 0.0271  batch: 0.8711  lr: 0.000100  max_mem: 13037
eta: 0:49:04  epoch: 0  step: 3900  mask_loss: 0.7429  ct_loss: 2.7131  wh_loss: 1.0191  py_loss: 5.3459  shape_loss: 0.5133  loss: 10.3343  data: 0.0290  batch: 0.8631  lr: 0.000100  max_mem: 13037
eta: 0:47:39  epoch: 0  step: 4000  mask_loss: 0.7216  ct_loss: 2.6457  wh_loss: 0.9282  py_loss: 4.7809  shape_loss: 0.4690  loss: 9.5453  data: 0.0280  batch: 0.8721  lr: 0.000100  max_mem: 13037
eta: 0:46:13  epoch: 0  step: 4100  mask_loss: 0.7412  ct_loss: 2.5931  wh_loss: 0.8825  py_loss: 4.5873  shape_loss: 0.4479  loss: 9.2521  data: 0.0276  batch: 0.8621  lr: 0.000100  max_mem: 13037
eta: 0:44:47  epoch: 0  step: 4200  mask_loss: 0.7548  ct_loss: 2.6799  wh_loss: 0.9900  py_loss: 5.2611  shape_loss: 0.5070  loss: 10.1929  data: 0.0257  batch: 0.8478  lr: 0.000100  max_mem: 13037train: Epoch: 1	

eta: 0:43:21  epoch: 0  step: 4300  mask_loss: 0.7325  ct_loss: 2.6164  wh_loss: 0.9126  py_loss: 4.6956  shape_loss: 0.4612  loss: 9.4183  data: 0.0284  batch: 0.8658  lr: 0.000100  max_mem: 13037
eta: 0:41:56  epoch: 0  step: 4400  mask_loss: 0.7448  ct_loss: 2.6031  wh_loss: 0.8756  py_loss: 4.4533  shape_loss: 0.4467  loss: 9.1234  data: 0.0280  batch: 0.8633  lr: 0.000100  max_mem: 13037
eta: 0:40:31  epoch: 0  step: 4500  mask_loss: 0.7303  ct_loss: 2.6513  wh_loss: 1.0014  py_loss: 5.2689  shape_loss: 0.4915  loss: 10.1434  data: 0.0272  batch: 0.8702  lr: 0.000100  max_mem: 13037
eta: 0:39:05  epoch: 0  step: 4600  mask_loss: 0.7531  ct_loss: 2.6805  wh_loss: 0.9734  py_loss: 5.0252  shape_loss: 0.4834  loss: 9.9156  data: 0.0261  batch: 0.8477  lr: 0.000100  max_mem: 13037
eta: 0:37:40  epoch: 0  step: 4700  mask_loss: 0.7084  ct_loss: 2.4716  wh_loss: 0.8581  py_loss: 4.4668  shape_loss: 0.4427  loss: 8.9475  data: 0.0267  batch: 0.8867  lr: 0.000100  max_mem: 13037
eta: 0:36:15  epoch: 0  step: 4800  mask_loss: 0.7318  ct_loss: 2.5878  wh_loss: 0.9506  py_loss: 4.8425  shape_loss: 0.4615  loss: 9.5741  data: 0.0298  batch: 0.8766  lr: 0.000100  max_mem: 13037
eta: 0:34:49  epoch: 0  step: 4900  mask_loss: 0.7268  ct_loss: 2.6350  wh_loss: 0.9517  py_loss: 4.9817  shape_loss: 0.5048  loss: 9.8001  data: 0.0265  batch: 0.8516  lr: 0.000100  max_mem: 13037
eta: 0:33:23  epoch: 0  step: 5000  mask_loss: 0.7351  ct_loss: 2.5393  wh_loss: 0.8984  py_loss: 4.6532  shape_loss: 0.4674  loss: 9.2934  data: 0.0255  batch: 0.8593  lr: 0.000100  max_mem: 13037
eta: 0:31:57  epoch: 0  step: 5100  mask_loss: 0.7160  ct_loss: 2.4165  wh_loss: 0.8305  py_loss: 4.2510  shape_loss: 0.4358  loss: 8.6497  data: 0.0262  batch: 0.8563  lr: 0.000100  max_mem: 13037
eta: 0:30:31  epoch: 0  step: 5200  mask_loss: 0.7195  ct_loss: 2.5648  wh_loss: 0.8850  py_loss: 4.5772  shape_loss: 0.4697  loss: 9.2161  data: 0.0264  batch: 0.8897  lr: 0.000100  max_mem: 13037
eta: 0:29:05  epoch: 0  step: 5300  mask_loss: 0.7451  ct_loss: 2.5047  wh_loss: 0.9121  py_loss: 4.6359  shape_loss: 0.4729  loss: 9.2708  data: 0.0277  batch: 0.8492  lr: 0.000100  max_mem: 13037
eta: 0:27:39  epoch: 0  step: 5400  mask_loss: 0.7142  ct_loss: 2.5078  wh_loss: 0.9377  py_loss: 4.7709  shape_loss: 0.4637  loss: 9.3943  data: 0.0263  batch: 0.8628  lr: 0.000100  max_mem: 13037
eta: 0:26:13  epoch: 0  step: 5500  mask_loss: 0.7240  ct_loss: 2.4941  wh_loss: 0.9296  py_loss: 4.7651  shape_loss: 0.4538  loss: 9.3666  data: 0.0259  batch: 0.8576  lr: 0.000100  max_mem: 13037
eta: 0:24:47  epoch: 0  step: 5600  mask_loss: 0.7088  ct_loss: 2.4111  wh_loss: 0.8596  py_loss: 4.3457  shape_loss: 0.4372  loss: 8.7624  data: 0.0264  batch: 0.8599  lr: 0.000100  max_mem: 13037
eta: 0:23:22  epoch: 0  step: 5700  mask_loss: 0.7229  ct_loss: 2.5106  wh_loss: 0.9370  py_loss: 4.9166  shape_loss: 0.4685  loss: 9.5556  data: 0.0264  batch: 0.8649  lr: 0.000100  max_mem: 13037
eta: 0:21:56  epoch: 0  step: 5800  mask_loss: 0.7288  ct_loss: 2.5104  wh_loss: 0.8744  py_loss: 4.4597  shape_loss: 0.4287  loss: 9.0020  data: 0.0280  batch: 0.8757  lr: 0.000100  max_mem: 13037
